Name,Radius,Mass,Gravity,Distance
2MASSW J0045214+163445,115817394.942,4.3669537236e+28,217.1485027627916,57.0
WISEP J004701.06+680352.1Ã‚Â [fr],92939884.82999994,2.2784106384e+28,175.93553814787887,40.0
2MASS J03264225-2102057Ã‚Â [de],92939884.82999994,3.4176159576e+28,263.90330722181835,80.0
2MASS J03552337+1133437,94369729.212,3.797351064e+28,284.407579076671,29.8
2MASS J04433764+0002040,127256149.99799992,4.1770861704e+28,172.04486250521128,82.0
2MASS J05012406-0010452Ã‚Â [de],98659262.35799992,3.987218617199999e+28,273.2248236044696,64.0
LSR 0602+3910Ã‚Â [de],100804028.93099992,5.3162914896e+28,348.96256329986886,34.6
2MASS J10224821+5825453Ã‚Â [de],100804028.93099992,5.1264239364e+28,336.49961461058786,60.0
DENIS-P J142527.97-365023.4Ã‚Â [de],94369729.212,3.987218617199999e+28,298.6279580305045,38.0
2MASSW J2206450-421721,95084651.403,4.1770861704e+28,308.16153675250763,93.0
2MASSW J2244316+204343,92224962.63899992,2.2784106384e+28,178.67379332366767,56.0
2MASS J23224684-3133231,99374184.54899992,4.5568212768e+28,307.7801971636203,56.0
Sun,695700000.0,1.989e+30,274.10478078144416,1.5813e-05
Sirius,1189647000.0,4.176900000000001e+30,196.8537463291381,8.6
Alpha Centauri,834840000.0,2.1879e+30,209.38559643026983,4.4
Altair,1252260000.0,3.5802e+30,152.280433767469,17.0
Fomalhaut,1252260000.0,3.7791e+30,160.7404578656617,25.0
Tau Ceti,621260100.0,1.557387e+30,269.1382688446168,11.9
Delta Pavonis,848754000.0,1.971099e+30,182.5032503053017,19.92
Titawin,1029636000.0,2.5260300000000002e+30,158.9267127430762,44.25
54 Piscium,653958000.0,1.5116400000000002e+30,235.7623736915997,36.1
